MQ135,MQ3,MQ6,MQ9,MQ5,MQ8,MQ4
317.0,503.0,390.0,384.0,319.0,67.0,228.0
310.0,498.0,314.0,330.0,286.0,96.0,185.0
297.0,498.0,312.0,321.0,287.0,96.0,183.0
305.0,489.0,307.0,326.0,284.0,97.0,180.0
305.0,491.0,305.0,324.0,284.0,98.0,175.0
302.0,490.0,302.0,322.0,280.0,98.0,177.0
294.0,489.0,299.0,313.0,279.0,98.0,175.0
301.0,488.0,297.0,326.0,276.0,99.0,175.0
291.0,486.0,295.0,314.0,276.0,95.0,174.0
295.0,480.0,290.0,311.0,282.0,98.0,172.0
289.0,479.0,290.0,310.0,274.0,97.0,170.0
288.0,477.0,297.0,305.0,273.0,93.0,168.0
288.0,473.0,286.0,307.0,277.0,97.0,166.0
286.0,475.0,289.0,305.0,270.0,98.0,164.0
283.0,471.0,283.0,305.0,271.0,115.0,162.0
279.0,467.0,277.0,303.0,270.0,98.0,164.0
283.0,492.0,277.0,304.0,268.0,97.0,161.0
275.0,467.0,287.0,308.0,269.0,97.0,164.0
276.0,464.0,275.0,298.0,267.0,98.0,158.0
275.0,466.0,278.0,298.0,266.0,98.0,156.0
271.0,460.0,271.0,299.0,265.0,95.0,157.0
270.0,460.0,271.0,295.0,267.0,96.0,155.0
275.0,466.0,270.0,294.0,264.0,97.0,152.0
266.0,457.0,268.0,293.0,262.0,96.0,154.0
276.0,457.0,266.0,292.0,264.0,98.0,147.0
277.0,455.0,265.0,290.0,264.0,89.0,149.0
271.0,454.0,266.0,289.0,259.0,95.0,148.0
273.0,451.0,263.0,289.0,262.0,86.0,147.0
274.0,453.0,264.0,288.0,263.0,108.0,150.0
270.0,448.0,263.0,288.0,261.0,95.0,132.0
262.0,447.0,260.0,291.0,261.0,96.0,144.0
265.0,446.0,260.0,292.0,261.0,93.0,144.0
264.0,444.0,259.0,279.0,257.0,90.0,142.0
264.0,444.0,257.0,285.0,258.0,109.0,142.0
264.0,440.0,257.0,284.0,259.0,88.0,140.0
263.0,437.0,254.0,284.0,257.0,93.0,140.0
259.0,440.0,256.0,284.0,257.0,91.0,139.0
257.0,437.0,255.0,283.0,260.0,94.0,139.0
258.0,436.0,248.0,282.0,256.0,90.0,137.0
256.0,433.0,252.0,286.0,255.0,92.0,136.0
258.0,433.0,250.0,282.0,270.0,89.0,137.0
257.0,433.0,251.0,278.0,255.0,88.0,138.0
252.0,434.0,261.0,280.0,265.0,89.0,132.0
253.0,434.0,246.0,284.0,254.0,76.0,134.0
250.0,431.0,249.0,280.0,254.0,90.0,134.0
246.0,452.0,247.0,279.0,254.0,90.0,130.0
248.0,426.0,247.0,279.0,250.0,89.0,130.0
250.0,427.0,246.0,280.0,250.0,89.0,131.0
247.0,423.0,244.0,276.0,256.0,88.0,150.0
244.0,424.0,246.0,278.0,252.0,88.0,129.0
