"174,320,16,167,250,251,38,87,acetone"
"150,280,14,148,239,236,38,91,acetone"
"151,277,14,162,239,240,34,97,acetone"
"149,274,14,257,247,238,35,100,acetone"
"144,291,15,352,264,245,35,146,acetone"
"146,416,13,448,287,253,42,224,acetone"
"149,562,15,532,307,273,47,309,acetone"
"155,653,14,615,334,290,57,374,acetone"
"162,716,14,674,358,302,57,452,acetone"
"169,754,14,717,384,320,62,506,acetone"
"172,784,12,763,408,332,68,556,acetone"
"185,800,15,766,433,343,73,592,acetone"
"213,819,14,787,457,354,79,623,acetone"
"209,841,14,790,480,366,88,643,acetone"
"221,852,15,800,500,380,91,668,acetone"
"245,859,14,804,521,390,97,681,acetone"
"247,866,15,812,539,399,103,694,acetone"
"258,874,11,815,557,408,109,714,acetone"
"276,882,14,820,569,415,116,714,acetone"
"288,885,14,843,583,424,118,724,acetone"
"303,892,16,816,593,426,127,735,acetone"
"306,894,15,820,596,436,158,733,acetone"
"331,895,15,819,611,436,139,742,acetone"
"338,903,15,835,620,446,143,749,acetone"
"354,899,14,817,625,449,144,743,acetone"
"366,906,24,819,630,450,153,749,acetone"
"374,913,18,817,635,452,148,759,acetone"
"382,906,14,819,636,457,161,750,acetone"
"395,910,14,819,638,456,161,750,acetone"
"401,914,15,829,640,458,170,747,acetone"
"409,912,15,812,634,458,174,751,acetone"
"428,913,12,815,643,456,175,750,acetone"
"421,917,14,819,644,452,166,747,acetone"
"426,920,15,816,651,457,182,749,acetone"
"434,921,12,816,649,453,187,748,acetone"
"447,912,37,813,644,452,187,751,acetone"
"444,918,14,830,649,452,187,750,acetone"
"442,919,10,814,643,448,192,746,acetone"
"453,925,15,817,641,447,190,747,acetone"
"455,920,16,815,648,442,198,742,acetone"
"459,918,14,819,642,443,197,740,acetone"
"459,919,14,816,639,437,200,739,acetone"
"467,922,14,816,643,434,200,735,acetone"
"464,918,15,814,640,431,202,737,acetone"
"466,918,15,814,640,427,204,739,acetone"
"469,916,15,813,639,423,204,722,acetone"
"468,919,15,814,639,419,205,719,acetone"
"471,923,14,825,638,417,205,716,acetone"
"471,919,14,816,636,414,207,712,acetone"
"472,936,16,815,638,411,207,708,acetone"
"471,924,13,817,636,408,209,702,acetone"
"472,930,7,819,635,405,210,696,acetone"
"474,920,15,816,635,404,208,692,acetone"
"473,918,15,815,635,399,209,685,acetone"
"471,920,13,818,633,398,212,679,acetone"
"473,920,12,816,633,396,210,674,acetone"
"472,916,16,814,631,395,213,670,acetone"
"474,920,15,814,630,397,213,664,acetone"
"475,912,16,812,631,391,212,662,acetone"
"479,921,35,814,630,389,215,657,acetone"
"476,918,15,822,628,389,213,650,acetone"
"477,915,31,814,628,385,215,678,acetone"
"476,920,10,811,628,385,216,642,acetone"
"477,922,12,814,628,387,223,638,acetone"
"478,920,14,811,627,383,211,636,acetone"
"474,921,12,813,627,390,216,626,acetone"
"477,917,13,812,632,378,216,654,acetone"
"479,917,14,811,627,381,219,626,acetone"
"481,916,14,814,626,381,217,622,acetone"
"477,912,17,811,625,382,218,624,acetone"
"480,916,12,808,625,381,219,615,acetone"
"481,917,14,808,617,380,222,617,acetone"
