"468,964,4,725,506,367,224,616"
"456,964,4,735,505,361,223,619"
"458,963,6,730,505,362,221,614"
"457,965,5,732,503,359,222,615"
"459,965,5,726,504,362,222,601"
"456,965,4,722,505,361,223,628"
"457,964,3,729,503,368,220,614"
"457,963,4,722,504,357,224,615"
"458,959,3,729,503,361,219,613"
"466,964,5,726,504,363,223,613"
"460,962,3,737,502,359,224,611"
"457,962,5,726,503,362,212,613"
"460,964,5,733,503,362,223,611"
"459,963,4,730,503,361,226,612"
"464,963,4,729,503,361,227,612"
"462,969,4,728,502,360,224,609"
"460,961,6,727,504,360,225,611"
"461,961,4,727,503,364,224,612"
"463,961,4,729,501,362,223,613"
"460,964,4,743,493,364,228,612"
"463,961,4,727,503,363,224,612"
"463,963,4,728,505,361,226,612"
"460,965,2,727,502,365,225,612"
"461,960,5,727,502,362,226,608"
"458,953,6,725,502,363,226,609"
"462,957,4,717,501,363,226,623"
"461,958,5,728,501,363,231,610"
"461,960,4,729,500,365,227,622"
"459,959,5,732,503,361,227,606"
"461,959,5,730,497,362,226,606"
"461,957,5,727,502,361,227,609"
"462,958,6,727,500,361,228,618"
"463,960,4,723,501,362,227,607"
"462,964,4,724,501,362,226,607"
"463,963,8,725,500,361,227,606"
"465,962,7,723,500,364,227,610"
"466,961,4,734,501,360,227,608"
"463,956,2,725,501,361,226,606"
"464,959,4,724,501,364,227,606"
"465,962,4,722,499,359,227,606"
"467,961,4,726,495,352,228,606"
"464,961,0,724,499,362,226,605"
"465,960,5,728,501,363,227,609"
"463,962,4,724,501,386,225,605"
"465,962,5,725,499,362,229,607"
"467,959,10,723,504,357,217,606"
"468,958,25,730,500,360,228,604"
"470,959,4,726,499,361,228,606"
"467,958,4,725,494,362,229,609"
"466,957,4,724,499,363,229,606"
"468,962,7,725,501,362,229,604"
"465,955,4,724,500,365,229,607"
"470,965,4,725,499,364,229,607"
"469,959,4,726,498,366,229,608"
"469,961,6,731,497,365,230,612"
"472,958,5,730,498,369,230,612"
"470,958,5,724,495,364,231,609"
"473,958,6,724,502,366,230,608"
"471,959,3,726,503,363,258,608"
"470,957,2,728,497,360,230,607"
"471,963,4,726,499,365,230,604"
"472,952,5,726,499,366,228,611"
"490,956,4,724,502,365,231,609"
"469,956,5,725,500,366,232,609"
"473,958,5,726,498,367,219,607"
