MQ135,MQ3,MQ6,MQ9,MQ5,MQ8,MQ4
189.0,297.0,235.0,259.0,243.0,71.0,123.0
162.0,262.0,203.0,248.0,232.0,52.0,107.0
158.0,261.0,198.0,247.0,231.0,41.0,105.0
157.0,262.0,200.0,252.0,228.0,37.0,103.0
156.0,258.0,197.0,244.0,226.0,36.0,102.0
154.0,257.0,198.0,244.0,228.0,36.0,100.0
150.0,260.0,197.0,243.0,225.0,36.0,99.0
151.0,256.0,199.0,244.0,227.0,35.0,100.0
151.0,255.0,193.0,243.0,224.0,37.0,99.0
151.0,259.0,193.0,240.0,227.0,34.0,98.0
147.0,257.0,194.0,243.0,252.0,35.0,98.0
144.0,259.0,193.0,237.0,227.0,34.0,98.0
147.0,258.0,192.0,239.0,225.0,46.0,96.0
146.0,258.0,191.0,241.0,224.0,34.0,96.0
147.0,258.0,201.0,241.0,224.0,34.0,95.0
157.0,254.0,191.0,239.0,223.0,24.0,93.0
142.0,258.0,198.0,244.0,225.0,33.0,96.0
140.0,257.0,190.0,244.0,228.0,32.0,95.0
140.0,257.0,190.0,242.0,224.0,32.0,94.0
139.0,254.0,190.0,241.0,223.0,31.0,95.0
140.0,257.0,181.0,240.0,224.0,31.0,93.0
139.0,259.0,191.0,242.0,223.0,31.0,96.0
131.0,256.0,189.0,242.0,224.0,31.0,119.0
137.0,257.0,192.0,240.0,222.0,33.0,93.0
137.0,257.0,194.0,240.0,223.0,30.0,96.0
137.0,257.0,192.0,241.0,221.0,31.0,94.0
136.0,258.0,193.0,239.0,224.0,39.0,89.0
136.0,257.0,196.0,239.0,223.0,32.0,93.0
135.0,259.0,192.0,238.0,223.0,29.0,93.0
137.0,256.0,193.0,254.0,222.0,33.0,94.0
133.0,260.0,193.0,240.0,223.0,30.0,101.0
135.0,261.0,194.0,240.0,220.0,31.0,94.0
133.0,262.0,194.0,241.0,224.0,30.0,95.0
134.0,271.0,196.0,241.0,223.0,29.0,94.0
136.0,262.0,194.0,239.0,220.0,29.0,98.0
131.0,263.0,195.0,239.0,226.0,29.0,94.0
133.0,261.0,194.0,239.0,227.0,28.0,94.0
135.0,262.0,195.0,243.0,222.0,31.0,95.0
133.0,262.0,197.0,243.0,223.0,28.0,95.0
131.0,262.0,198.0,255.0,224.0,26.0,95.0
134.0,262.0,195.0,239.0,223.0,17.0,97.0
137.0,262.0,207.0,238.0,225.0,28.0,97.0
132.0,263.0,199.0,251.0,223.0,29.0,98.0
131.0,264.0,199.0,240.0,226.0,30.0,96.0
127.0,263.0,195.0,243.0,222.0,28.0,95.0
132.0,265.0,195.0,240.0,226.0,29.0,129.0
130.0,263.0,217.0,240.0,225.0,29.0,96.0
131.0,262.0,201.0,240.0,226.0,39.0,95.0
131.0,265.0,199.0,241.0,224.0,29.0,97.0
135.0,266.0,201.0,265.0,225.0,29.0,92.0
