MQ135,MQ3,MQ6,MQ9,MQ5,MQ8,MQ4,Stage
2.0,0.0,3.0,153.0,159.0,0.0,1.0,Cleaning
0.0,0.0,0.0,153.0,156.0,1.0,4.0,Cleaning
0.0,0.0,0.0,152.0,159.0,0.0,0.0,Cleaning
0.0,0.0,0.0,153.0,154.0,0.0,1.0,Cleaning
0.0,0.0,0.0,153.0,158.0,0.0,0.0,Cleaning
1.0,1.0,0.0,151.0,160.0,2.0,0.0,Cleaning
0.0,4.0,3.0,155.0,154.0,1.0,20.0,Cleaning
3.0,0.0,0.0,154.0,159.0,0.0,0.0,Cleaning
2.0,0.0,0.0,153.0,158.0,3.0,0.0,Cleaning
0.0,0.0,1.0,153.0,155.0,0.0,0.0,Cleaning
1.0,0.0,0.0,152.0,158.0,0.0,0.0,Cleaning
1.0,0.0,4.0,154.0,158.0,0.0,0.0,Cleaning
2.0,0.0,5.0,160.0,157.0,0.0,0.0,Cleaning
0.0,2.0,0.0,154.0,158.0,0.0,1.0,Cleaning
0.0,1.0,0.0,154.0,157.0,26.0,0.0,Cleaning
2.0,0.0,0.0,157.0,158.0,0.0,6.0,Cleaning
0.0,0.0,0.0,153.0,158.0,0.0,0.0,Cleaning
8.0,1.0,3.0,153.0,160.0,0.0,1.0,Cleaning
3.0,0.0,1.0,154.0,164.0,0.0,1.0,Cleaning
2.0,0.0,0.0,153.0,161.0,0.0,7.0,Cleaning
0.0,0.0,0.0,155.0,162.0,0.0,1.0,Cleaning
1.0,2.0,0.0,176.0,159.0,0.0,0.0,Cleaning
1.0,13.0,0.0,152.0,157.0,0.0,0.0,Cleaning
0.0,1.0,1.0,155.0,161.0,1.0,1.0,Cleaning
4.0,0.0,1.0,154.0,157.0,1.0,0.0,Cleaning
0.0,0.0,0.0,147.0,157.0,0.0,1.0,Cleaning
0.0,0.0,1.0,167.0,158.0,0.0,0.0,Cleaning
1.0,0.0,0.0,154.0,157.0,2.0,0.0,Cleaning
